tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Intraplate,Dacite,63.35,0.71,16.28,5.23,3.08,0.06,1.79,4.18,0.27,15.2,124,35,20.4,12,29,588,14,98,15.4,31.8,16.1,3.6,1.04,1.46,0.21,2.9,2.74
Archean craton,Dacite,69.3,0.36,14.7,2.77,0.8,0.03,1.67,4.7,0.1,5.3,42,35,8,17,37,220,7,158,23,41,14.23,2.36,0.77,0.54,0.09,3.8,4.8
Convergent margin,Andesite,55,1.37,16.11,8.1,4.2,0.16,0.86,3.83,0.29,32.4,312,35,26.9,22,20.4,428,25.2,114,10.1,25.8,16.3,4.32,1.28,2.66,0.36,2.8,1.7
Rift,Dacite,64.73,0.67,15.79,4.63,2.56,0.08,2.84,4,0.31,11.2,89,35,NA,35,57.4,590,19.5,173,45.3,73.7,28.89,5.56,1.5,1.63,0.25,4.5,9.4
Convergent margin,Andesite,56.29,0.62,19.23,8.59,4.37,0.15,0.7,3.15,0.18,19.8,181,35.1,23,27,12.9,746,15.4,60.9,13.8,26.8,13.9,2.91,1.01,1.42,0.22,1.49,1.278
Convergent margin,Andesite,55.88,0.62,19.3,8.73,4.36,0.15,0.71,3.2,0.18,19.9,182,35.8,24.3,31.2,13.3,769,15.4,60.9,14.2,27.4,14,2.91,1.01,1.43,0.229,1.52,1.284
Archean craton,Dacite,64.75,0.49,15.75,3.95,1.87,0.06,0.87,4.76,0.14,11,67,36,NA,22,24.8,164,10.6,113,16.75,30.54,14.39,2.7,0.759,1.04,0.16,2.9,3.5
Convergent margin,Andesite,52.87,0.93,21.21,10.6,3.64,0.15,0.5,3.28,0.13,30.1,183,36,23,25,13.2,222,25.7,67,6.42,14.94,10.1,3.22,1.13,2.55,0.41,1.97,2.02
Convergent margin,Andesite,49.83,1.12,18.26,10.16,4.59,0.17,0.42,2.58,0.1,35.8,302,36,33,8,8.3,228,26.3,76,5.53,14.23,9.97,3.02,1.06,2.68,0.41,2.07,1.25
Convergent margin,Andesite,50.62,1.12,18.39,10.2,4.65,0.17,0.5,2.7,0.1,36.3,294,36,31,8,7.4,227,26.8,78,5.57,14.3,9.97,3.03,1.06,2.64,0.41,2.07,1.25
Archean craton,Dacite,63.33,0.52,16.58,6.58,2.26,0.07,1.44,3.83,0.48,13.2,124,36,18,32,34,404,10,110,22.4,42.9,22.3,3.75,1.22,1.27,0.19,2.4,2.8
Convergent margin,Dacite,64.57,0.46,16.97,3.87,1.33,0.03,2.52,3.68,0.12,10,72,37,5,2,74,855,14,126,34.2,57.8,20.6,3.42,0.98,1.44,0.23,3.9,12
Convergent margin,Andesite,53.26,0.98,17.57,9.5,4.89,0.17,1.52,2.94,0.17,29.9,255,37,30,14,43,308,28.2,127,14.58,33.59,18.77,4.63,1.35,2.76,0.42,3.37,4
Convergent margin,Andesite,54.85,0.61,20,9.34,4.19,0.15,0.62,3.15,0.16,20.3,185,37,23.4,25.1,11.4,698,15.6,48.4,10.6,21.5,12.2,2.77,0.993,1.45,0.223,1.3,0.772
Cont flood Basalt,Basalt,47.2,2.52,13.9,10.89,5.81,0.22,0.57,3.12,0.35,30.6,402,37,50.1,44,6.1,471.1,27.6,166.4,25.8,56.4,33.07,6.82,2.3,2.4,0.3,4.1,2.9
Convergent margin,Rhyolite,69.8,0.192,14.6,0.71,0.23,0.06,4.65,1.76,0.028,7.03,51,37,69.2,12,290.2,241.4,32,239,29.7,59.8,27.2,5.16,0.66,2.3,0.38,7.2,44
Archean craton,Rhyolite,72.47,0.15,14.67,3.29,0.4,0.01,1.81,4.11,0.07,1.9,5.24,37.41,2.63,4.76,35.47,327.8,8.26,143,23.54,48.06,21.69,3.14,0.821,0.92,0.149,3.7,2.67
Intraplate,Rhyolite,68.48,0.36,14.98,2,0.85,0.06,3.89,3.83,0.08,8.18,49.85,37.64,6.21,6.27,140,264,31.89,246,55.06,103.38,44.67,7.82,1.5,3.03,0.46,6.97,20.24
Intraplate,Rhyolite,69.3,0.67,14.65,0.63,0.87,0.03,5.23,1.9,0.16,5.3,31,38,7.1,5.1,234,121,11,575,154.25,316.85,92.317,11.238,1.75,0.69,0.1,14.09,47
Archean craton,Basalt,49.92,1.79,14.4,6.22,6.36,0.141,1.34,2.7,0.21,40,351,38.5,41,38.2,31.6,190,36.5,154,15.6,36.4,20.3,5.42,1.87,4.11,0.587,4.68,5.89
Oceanic plateau,Dacite,69.32,0.35,14.79,3.62,1.73,0.03,2.43,3.85,0.103,5.170616989,49.13419093,38.90492083,7.056239121,22.92304308,7.285122121,773.3847371,4.211557847,156.2248573,10.68926265,19.26605385,15.4602792,2.934583291,0.89430496,0.321816992,0.0468,3.871421179,1.640347382
Convergent margin,Andesite,54.53,1.31,17.18,8.49,3.98,0.19,0.59,3.88,0.14,43.3,295,39,34,20,14,189,35.3,86,6.67,16.03,11.8,3.95,1.42,3.5,0.57,2.56,1.58
Intraplate,Rhyolite,73.12,0.4,14.48,1.9,2.64,0.06,3.03,3.28,0.09,4.5,80,39,13,12,39,154,32,160,39,75,22.4,5.5,1.1,6.4,0.9,4.6,6.8
Convergent margin,Andesite,54.91,0.58,18.73,9.18,4.52,0.19,0.51,2.87,0.2,20.426,135.692,39.674,21.489,23.916,8.827,669.569,16.781,44.572,11.32,25.704,15.212,3.502,1.094,1.644,0.258,1.321,0.922
Cont flood Basalt,Andesite,52.3,3.3,13.4,8.6,4.6,0.21,0.72,3.1,0.33,34,403,40,37,32,19,276,47,221,15.9,42.1,29.7,7.66,2.15,3.48,0.53,4.8,1.83
Archean craton,Dacite,61.9,1.07,15.5,7.02,1.88,0.08,0.13,5.23,0.84,8.8,80,40,19,30,2,501,14,139,32.6,80.4,40.2,7.6,2.11,0.9,0.12,3.6,5.5
Convergent margin,Rhyolite,71.2,0.15,12.7,0.65,0.46,0.078,5.14,2.92,0.038,9.2,78,40,52.9,29,124.4,424.8,20,178,24.1,46.8,19.4,4.56,0.81,1.97,0.27,5.1,11
Convergent margin,Andesite,54.18,0.84,18.09,5.46,3.21,0.13,0.37,2.62,0.12,11,182,40,25,7,41.9,190.7,65,406,8,17.7,11.8,3.4,0.97,2.41,0.38,2.6,1.7
Intraplate,Dacite,63.5,1.4,15.31,3.22,1.52,0.09,3.9,3.6,0.77,7.99,64.4,40.1,45.7,21.2,164,576,23.8,490,142,252,96.3,14.4,2.7,1.38,0.192,14.5,34.8
Rift,Dacite,67.15,0.77,14.42,2.46,1.89,0.07,3.79,3.15,0.2,NA,104,41,28.1,21,190.18,135.39,46,203.9,42.74,91.89,30.535,6.915,1.69,3.9,0.57,4.99,12.28
Cont flood Basalt,Basalt,41.87,4.68,12.78,6.56,9.27,0.16,0.63,3.39,0.63,17,310,41,54,114,NA,868,21.4,319,18.8,49.5,40.4,9.48,3.01,0.91,0.14,8.69,1.14
Intraplate,Andesite,55.73,0.6,16.13,5.95,5.22,0.1,0.23,6.97,0.07,19.95,123,41.35,18.91,5.44,3.18,572,12.11,71.6,6.52,14.66,8.73,2.17,0.72,1.38,0.21,2.29,2.69
Convergent margin,Dacite,49,1.15,16.5,12.4,8.55,0.14,0.28,2.3,0.05,216,274,41.7,115,NA,2,314,20,45,3.8,8,7,2.3,0.85,1.95,37.3,1.2,0.32
Intraplate,Dacite,69.44,0.25,15.18,2.62,3.27,0.03,3.15,4.33,0.06,4.1,89,42,11,11,34,151,27,166,30,66,20,5,1.7,4.4,0.65,3.9,6.7
Convergent margin,Andesite,52.6,1.43,16.3,9.8,5.3,0.2,0.41,3,0.16,38,355,42,36,26,6.2,208,36,104,5.64,14.5,11.65,3.69,1.28,3.22,0.49,2.55,0.61
Convergent margin,Andesite,58.84,0.51,14.74,8.47,3.31,0.19,0.61,1.61,0.11,43,400,42,36,13,7.6,204,11,20,3.6,6,4.3,1.29,0.48,1.24,0.22,0.96,0.399
Intraplate,Basalt,52.74,1.06,14.23,8.56,5.42,0.16,1.41,1.75,0.23,30.8,241,42,45,65,17.6,366,22.1,126,19.3,43.7,25.25,5.18,1.56,1.98,0.32,3.04,0.72
Convergent margin,Andesite,55.94,1.02,17.01,7.93,4.61,0.14,1.62,3.31,0.19,27,207,44,38,13,50,448,24,171,20,42,23,4.7,1.3,2.7,0.45,4.3,7.6
Intraplate,Basalt,46.45,2.15,17.6,2.68,6.4,0.23,0.12,5.26,0.33,15,218,44,46,73,5,238,29,197,11.6,32,21.5,5,1.84,3,0.4,NA,1.2
Intraplate,Dacite,62.92,0.45,14.33,3.68,1.76,0.04,3.49,2.1,0.23,8,78,44,11,20,122,346,17,163,40.96,83.98,34.77,6.06,1.49,1.34,0.21,1.3,17.3
Convergent margin,Andesite,54.85,1.56,17.2,6.78,4.58,0.13,1.84,3.57,0.44,NA,186,44,41,66,33,558,25,206,26.46,54,26.82,5.71,1.74,2.24,0.32,4.68,3.1
Archean craton,Andesite,58.2,1.81,11.1,37.1,5.5,0.18,0.82,2.2,0.18,26,63,44,38,34,22,96,33,175,21.7,50.1,25.8,6.1,1.7,3.7,0.5,4.8,NA
Convergent margin,Andesite,57.3,0.7,19.5,7.29,4.23,0.09,0.99,3.95,0.09,15.9,131,45,24,31,15.03,646.4,24,73,21.2,22,19.47,4.207,1.35,2.1,0.33,1.98,1.29
Intraplate,Dacite,68.5,0.47,15.72,3.47,1.49,0.02,2.65,4.65,0.15,7.8,71,45,11.1,15,56,651,8,137,24.3,45.2,18.7,3.32,0.807,0.67,0.11,3.7,6.56
Archean craton,Dacite,66.3,0.48,16.2,2.78,1.21,0.04,0.27,6.6,0.12,8,58,45,12,36,6,246,13,174,16,31,14,2.8,0.85,1.2,0.19,4.2,2.2
Convergent margin,Andesite,54.2,1.3,18.3,7.55,4.29,0.11,2.12,3.82,0.64,19,110,45,25.3,45,22,1731,24,216,37,75,41.3,7.28,1.94,1.6,0.24,4.5,4
Archean craton,Basalt,47.61,1.92,14.12,11.09,5.85,0.23,0.2,2.33,0.28,40.08,206.97,45.61,51.35,110.87,2.55,116.67,32.98,129.25,6.65,18.65,13.72,4.21,1.59,3.74,0.54,NA,0.99
Convergent margin,Andesite,55.42,0.62,18.84,9.01,4.89,0.15,0.66,3.14,0.17,22,174,45.7,25.1,35.2,12,729,14.8,56.5,13.1,25.4,13.2,2.75,0.99,1.37,0.209,1.42,1.126
Convergent margin,Andesite,56.3,0.54,16.8,6.63,3.57,0.23,0.36,3.72,0.2,15,138,46,11,24,8,602,15,86,11.6,23.8,NA,2.76,0.78,1.28,0.21,2.26,3.97
Backarc basin,Basalt,55.28,2.05,15.72,7.55,3.9,0.18,0.48,3.68,0.29,28.1,260,46,23.4,31,14.29,238,35.9,126,9.46,23.7,15.61,4.51,1.53,3.52,0.55,3.22,1.14
Intraplate,Basalt,52.61,1.05,14.21,8.61,5.53,0.15,1.31,1.86,0.23,27,215,46.4,41,58.7,14.1,328,19.7,111,16.91,38.32,22.04,4.53,1.33,1.68,0.24,2.41,0.63
Convergent margin,Andesite,54.5,0.64,19.17,9.32,5.14,0.18,0.47,2.81,0.16,24.21,154.109,46.879,24.416,25.296,7.145,560.646,17.06,41.513,8.745,19.439,12.121,3.056,0.981,1.668,0.261,1.25,0.61
Rift,Andesite,53.43,1.36,18.2,0.96,7.27,0.13,2.42,3.49,0.24,20,301,47,27,35,36,191,19,115,9.9,22,14,3.9,0.95,1.9,0.28,2.2,2.9
Convergent margin,Andesite,52.01,1.27,17.78,9.34,3.86,0.24,1.31,3.01,0.34,NA,254,47,34,18,28,632,18.8,118,14.4,33.5,19.2,4.28,1.44,1.92,0.29,3.11,2.72
Convergent margin,Rhyolite,71.6,0.144,12.6,0.75,0.23,0.082,5.65,2.15,0.05,14.2,137,47,19.9,30,65,726,20,218,40.8,88.3,38.2,7.27,1.83,1.54,0.229,6.46,8.28
Intraplate,Dacite,66.52,0.45,15.51,3.49,2.12,0.06,3.07,4.24,0.16,9.9,55.6,47.4,NA,37.7,99.8,939,10.2,288,55.4,92.3,36.8,5.3,1.3,0.8,0.12,8.5,17.9
Convergent margin,Dacite,64.09,0.5,16.85,5.17,2.58,0.1,1.5,4.46,0.19,9.53,89,47.8,11.2,24,40,544,14,116,15.4,30.4,16,2.94,0.86,1.27,0.2,3.1,4.27
Intraplate,Basalt,56.58018112,0.844013751,16.11962128,7.585704327,4.188808918,0.156298846,2.354902506,3.073877335,0.291757852,26,190.5115,47.89414054,26.6,8,55.3,828.4,25.3,87.61056,11.2,28.2,18,5.2,1.56,2.62,0.42,2.8,2.8
Convergent margin,Andesite,53.54,0.59,15.37,10.8,5.12,0.21,0.5,1.86,0.09,45,328,48,36,20,6.1,226,16,26,1.5,3.91,3.7,1.35,0.5,1.59,0.24,0.79,0.143
Archean craton,Rhyolite,67.94,0.76,14.21,4.66,1.47,0.1,1.51,3.37,0.19,12,82,48,13,24,38,295,21,228,60,115,44,6.9,1.6,1.9,0.26,2.5,NA
Convergent margin,Dacite,63.05,0.56,17.27,5.73,2.42,0.08,1.04,4.44,0.32,15.8,89,48,NA,13,16.8,464,10.2,91,7,14.9,9.2,2,0.7,1.1,0.2,2.2,1
Archean craton,Basalt,52.7,2.21,12.7,11.4,3.8,0.17,0.9,0.9,0.3,41,294,48,46,32,13,187,63,232,13.7,37.1,26,8.19,2.3,6.89,1.06,6.35,1.225
Archean craton,Basalt,52.1,1.14,13.6,8.5,7.1,0.21,0.7,2.6,0.1,39,268,48,47,49,22,190,32,103,5.6,15.2,11.6,3.83,1.23,3.58,0.51,3.06,0.513
Convergent margin,Dacite,64.94,0.8,15.29,4.18,2.14,0.08,2.54,4.54,0.2,17.3,76,48,13,9,91,307,28.8,291,20.9,55,29.6,5.7,1.23,2.7,0.44,8.5,8.7
Intraplate,Rhyolite,76.6,0.54,9.35,0.94,0.9,0.03,4.46,1.14,0.15,9.2,77,48.2,25.6,39.9,176,105,26.78,245,36.52,50.41,29,5.19,0.79,2.39,0.38,8.5,21.2
Intraplate,Dacite,62.89,0.76,13.92,0.69,2.04,0.01,3.61,2.07,0.45,17.76,38.4,48.49,16.38,20.09,281.9,14.3,42.78,279.4,57.12,117.6,60.84,11.82,3.03,4.41,0.69,8.59,9.36
Convergent margin,Andesite,58.86,0.81,17.08,6.34,3.51,0.11,1.46,3.78,0.21,16,172,49,22,17,33,480,18,117,12,26.4,15.1,3.4,1.02,1.43,0.22,2.85,1.91
Convergent margin,Basalt,42.19,0.69,26.09,14.11,5.64,0.11,0.07,1.12,0.03,7,343,49,NA,12,0.97,567,2.1,4.6,0.69,1.57,1.05,0.32,0.3,0.2,0.03,0.15,0.08
Convergent margin,Andesite,59.2,0.52,16.7,6.5,5.26,0.05,1.5,4.3,0.09,21,140,49,25,31,24.5,232,13,88,12,16.7,7.9,1.95,0.55,1.38,NA,1.6,3.2
Convergent margin,Rhyolite,72.22,0.18,13.33,1.33,0.34,0.06,4.17,3.68,0.06,2,11,50,6,14,124,143,15,87,31,48.7,13.5,2.23,0.38,1.53,0.25,2.8,14.5
Intraplate,Rhyolite,75.3,0.4,15.1,0.4,0.6,0,5.2,0.8,0.2,2.6,26.4,50,3.7,30.4,314.6,158.2,4.5,47.4,22.3,88.9,11.4,1.6,0.4,0.6,0.1,2.1,56.2
Backarc basin,Basalt,54.47,1.73,15.47,8.66,4.64,0.17,0.54,3.48,0.26,30.1,280,50,29.2,32,7.94,221,35,134.2,10.16,24.26,15.27,4.28,1.45,3.35,0.51,3.2,1.13
Rift,Basalt,49.98,3.05,13.68,8.99,4.81,0.2,1.11,3.3,0.45,31,340,50,39,30,17.9,372,35.3,226,25.8,56.2,33.4,7.57,2.59,3.06,0.429,5.13,2.19
Ocean island,Rhyolite,65.33,0.95,15.04,3.29,1.98,0.1,3.71,5.04,0.12,9.2,NA,50,35,28,85,152,63,442,78,146,65,12.1,1.76,5.4,0.77,13.7,14.4
Archean craton,Basalt,50.86,1.71,13.18,9.29,6.77,0.18,0.14,2.97,0.22,41.18,235.67,50.91,43.13,73,1.18,56.96,31.25,99.44,5.44,14.76,11.66,3.66,1.32,3.6,0.54,NA,1.06
Cont flood Basalt,Basalt,47.8,2.82,14.2,6.44,5.9,0.21,2.07,4.22,0.45,31.5,379,51,51.5,53,45.6,334.1,29.9,188.6,30.9,67.8,37.6,7.8,2.7,2.6,0.4,4.7,3.3
Convergent margin,Andesite,63.6,0.2,15.13,5.59,3.31,0.04,0.53,3.07,0,20.4,152,51,13.9,26,9.1,222,10.1,62,3.02,6.46,4.64,1.24,0.39,1.04,0.15,1.67,0.55
Convergent margin,Andesite,51.51,0.81,21.63,11.38,4.1,0.14,0.41,2.92,0.1,30.5,173,51,24,28,9.8,209,21.7,54,4.34,10.57,7.6,2.55,0.96,2.18,0.35,1.6,1.23
Convergent margin,Andesite,54.59,0.63,19.63,9.18,4.8,0.15,0.62,3.01,0.17,21.4,187,51.8,25.8,35.1,11.5,721,15.1,51.8,12.3,24.1,12.9,2.84,1,1.36,0.214,1.37,1.053
Convergent margin,Andesite,54.64,0.61,19.04,9.04,4.76,0.15,0.64,3.08,0.18,23.2,211,51.9,24,39,11.75,736,13.5,52.4,13.52,25.6,13.93,2.91,1.083,1.47,0.223,1.4,1.189
Archean craton,Andesite,54.3,1.24,13.56,7.98,6.3,0.22,0.04,3.58,0.13,63,368,52,43,43,3,95,37,109,8,21.1,14.7,4.18,1.13,3.72,0.62,2.4,0.8
Convergent margin,Andesite,52.81,0.36,16.94,12.02,6.07,0.18,0.15,0.95,0.04,43.9,298,52,47,28.1,2.95,156,7.88,11.7,0.885,2.62,2.09,0.769,0.251,0.871,0.134,0.37,0.131
Convergent margin,Andesite,53.26,0.61,19.68,10.03,5.03,0.17,0.54,2.78,0.16,25.5,213,52,30.1,45.8,11.4,663,15.5,45.7,11,22,12.2,2.77,0.96,1.49,0.224,1.16,0.952
Intraplate,Andesite,55.84,0.969,17.19,6.66,4.42,0.137,1.57,3.71,0.21,NA,221,53,23,56,37,223,23.18,121,13.36,25.76,16.45,3.97,1.29,2.31,0.35,3.1,1.96
Convergent margin,Andesite,61.91,0.63,16.54,5.48,2.85,0.09,1.59,3.85,0.16,14,137,53,16,20,33,446,30,112,12,25.6,13.6,3,0.89,1.27,0.19,2.95,1.98
Archean craton,Dacite,68.2,0.3,15.5,3.7,1.8,0.03,1.7,5.6,0.1,7,47,53,12,31,51,565,6,123,13.7,28.2,12.8,2.26,0.66,0.45,0.07,2.7,3
Archean craton,Dacite,67.78,0.73,14.67,2.78,2.83,0.08,0.19,3.28,0.19,12.7,90,53,15,20,127,189,30,200,46.1,92,20.7,6.3,3.8,2.5,0.3,5.7,29.8
Archean craton,Basalt,52.48,1.8,13.61,10.71,5.61,0.22,0.18,2.69,0.16,42.44,223.13,53.81,45.94,81.4,2.06,90.87,33.76,107.12,7.91,21.58,13.85,4.11,1.43,3.64,0.55,NA,1.03
Intraplate,Dacite,62.184448,0.713728,15.408128,0.329728,2.822144,0.017408,5.531648,3.9936,0.052224,14.83,102.4,53.84,0.859,39.48,458.9,207.8,19.85,138,7.887,16.93,8.434,1.969,0.543,1.861,0.277,2.964,5.07
Convergent margin,Andesite,51.97,1.06,18.01,9.72,5.12,0.15,0.59,3.36,0.17,34,295,54,38,19,11.8,531,20,66,7,17.2,11.6,3.2,1.08,1.78,0.26,1.93,1
Intraplate,Dacite,67.11,0.47,15.62,3.65,1.73,0.06,3.28,4.36,0.21,10.3,63.3,54.2,NA,45.8,101,893,10.2,254,58.2,97.1,38.6,5.6,1.4,0.9,0.13,7.9,18.9
Backarc basin,Basalt,53.4,1.61,15.15,9.07,4.98,0.2,0.52,3.66,0.37,29.8,NA,54.3,26.3,32.1,7.97,244,27.4,114,9.02,20.7,13.8,3.89,1.34,3,0.444,2.99,0.989
Intraplate,Dacite,67.93209839,0.495623857,15.61742401,3.77517724,2.731203556,0.063271128,1.877043486,3.97553587,0.115997069,7,61.1409,54.73616062,10,21,47.7,512,13.7,128.58432,17,32,13.2,2.8,0.78,1.28,0.19,3.1,7.2
Convergent margin,Andesite,54.07,1.08,17.59,8.39,4.62,0.14,0.97,3.67,0.22,29,242,55,29,24,20.5,467,24.8,121,13.4,30,17.9,4.2,1.25,2.16,0.31,2.99,2.06
Backarc basin,Basalt,55.28,1.71,15.35,8.64,4.6,0.17,0.9,2.88,0.25,31.2,315,55,28,41,17.28,258,28,94.6,7.77,19.14,12.33,3.56,1.23,2.65,0.41,2.45,1.07
Intraplate,Basalt,52.3,1.08,14.34,8.26,5.48,0.16,1.46,1.99,0.24,31.2,245,55.5,44.9,67.7,20.7,358,24.1,131,19.71,44.62,25.82,5.43,1.56,2.13,0.33,3.16,0.8
Intraplate,Dacite,65.45,0.48,16.19,3.25,1.96,0.06,3.23,4.11,0.17,10.3,58.2,55.6,NA,37.5,94,909,10.1,235,47.3,78.9,31.3,4.6,1.2,0.8,0.12,7.5,17.4
Convergent margin,Andesite,60.74,0.72,16.73,5.33,3.49,0.11,2.42,4.23,0.16,15.1,102,56,18.9,36,76.7,468,17.3,189,17.4,39.2,18.8,3.72,0.97,1.79,0.28,4.34,10
Convergent margin,Dacite,69.5,0.68,14.2,0.53,1.64,0.13,4.3,2.4,0.19,12,76,56,10,20,158,98,28,46,34.5,69.2,30.1,6.7,1,3.2,0.5,6,16
Convergent margin,Andesite,52.08,0.62,19.31,10.02,5.21,0.16,0.42,2.56,0.16,24.948,185.385,56.358,26.745,31.68,7.55,737.6,14.269,40.985,9.34,20.072,11.093,2.666,0.903,1.335,0.208,1.102,0.67
Archean craton,Andesite,55.06,0.64,19.38,8.51,4.18,0.11,0.28,3.81,0.13,20,124,57,41,78,5,612,13,77,9.26,21.95,11.61,2.37,0.87,1.18,0.2,1.98,2.05
Convergent margin,Andesite,58.4,1.39,16.7,4.26,3.52,0.07,2.33,4.11,0.07,16.8,67,57,20.6,29,62,397,23.7,229,22.5,45.1,25,6.4,1.57,2.45,0.34,6.3,5.6
Convergent margin,Andesite,54.24,0.77,17.78,9.12,4.48,0.13,2.59,2.97,0.33,NA,212,57,22.7,26.3,78.8,644,31.1,160,44.9,86.1,34.6,6.51,1.72,2.14,0.384,3.66,16.5
Intraplate,Andesite,55.87,0.947,17.25,8.08,3.84,0.137,0.94,3.89,0.21,NA,205,57,21,40,47,307,22.89,125,13.47,26.03,16.51,3.99,1.36,2.31,0.35,3.29,2.17
Archean craton,Dacite,62.3,0.9,14.98,5.37,4.38,0.2,0.89,2.57,0.16,27,185,57,17,45,25,195,25,141,11.8,27.9,19.1,4.01,1.45,2.92,0.52,3.5,1.6
Convergent margin,Andesite,51.81,0.83,21.72,11.37,4.01,0.14,0.44,2.93,0.11,30.2,178,57,25,28,10.2,215,23.1,56,4.66,11.22,8.1,2.69,1,2.32,0.37,1.69,1.31
Convergent margin,Andesite,54.46,0.73,18.65,11.03,5.65,0.13,0.14,2.57,0.07,30.843,234.787,57.053,26.791,29.658,5.249,148.421,17.732,45.717,2.68,7.007,5.411,1.838,0.7,1.757,0.278,1.327,0.31
Backarc basin,Basalt,55.29,1.11,15.59,8.06,3.96,0.19,1.21,3.25,0.28,33.1,342,58,30,37,24.6,680,25.2,111.5,24.94,49.55,24.18,5.57,1.7,2.32,0.37,2.83,2.932
Archean craton,Andesite,54.5,1.23,13.05,9.26,5.74,0.2,0.03,2.66,0.13,42,368,58,44,43,2,152,36,107,7.7,20.3,14.4,4.17,1.18,3.73,0.61,2.8,0.8
Ocean island,Basalt,47.3,3.5,12.35,8,5.05,0.15,0.45,2.95,0.8,35,303,58,NA,294,8.6,257,41.6,337,19.6,57,29.8,7.26,2.32,3.67,0.53,7.24,3.18
Archean craton,Dacite,64.85,0.75,16.25,5.08,2.13,0.07,0.87,4.75,0.23,18.73,123.76,58,26,20,22.6,298.21,16.96,202.64,32.98,68.64,27.82,4.95,1.27,1.54,0.22,5.02,8.59
Intraplate,Dacite,61.58,0.51,15.04,4.07,2.51,0.08,4.26,2.55,0.25,8,68,59,6,30,191,569,16,182,42.43,83.32,36.45,6.61,1.77,1.18,0.18,2.6,19.6
Intraplate,Dacite,66.7,0.55,15.47,3.43,1.94,0.05,3.05,4.04,0.18,10.2,61,59,NA,46.1,85,842,10,224,49.8,91.8,32.3,4.6,1.2,0.8,0.1,7.7,17.5
Convergent margin,Rhyolite,71.1,0.25,12,2.2,0.42,0.111,4.3,4.15,0.096,8.99,84,60,9.3,11,88.5,431.3,16,76,22.1,40.3,16.6,2.9,0.82,1.28,0.25,2.8,12
Convergent margin,Dacite,63.2,0.712,16.3,3.61,1.62,0.059,3.17,4.28,0.236,11.33834695,205.7772639,60,25.94748892,40.95236595,36.51794461,1172.887021,20.72922378,214.9057719,57.28842396,92.2873666,61.103139,10.33701029,2.58880655,1.379127224,0.208610792,6.076215083,2.444026314
Archean craton,Basalt,51.6,1.14,14.2,7.9,7.2,0.23,0.1,2.7,0.1,52,352,61,64,48,2.1,142,35,102,6.3,17.3,13.4,4.03,1.21,3.79,0.55,2.98,0.635
Archean craton,Andesite,58.9,0.7,16.35,7.68,4.37,0.17,1.28,2.42,0.2,15.9,129,61.7,21.3,38.3,28.8,567,12.9,96,17.3,38.3,21.1,4.16,1.16,1.21,0.155,3.5,2.47
Seamount,Basalt,51.02,1.87,14.62,11.32,6.7,0.16,0.36,2.3,0.22,41.3,309,62.2,55.8,109,5.37,257,31.1,138,12.9,29.1,17.8,4.75,1.61,2.82,0.41,3.25,1.29
Rift,Rhyolite,76.97,0.42,9.9,1.02,1.43,0.11,3.9,0.82,0.03,5.15,32,63,NA,14,190,19,55,421,43.3,74.7,44.6,10.32,1.12,3.33,0.48,4.81,21
Archean craton,Dacite,64.17,0.45,16.18,4.88,3,0.06,1.14,2.78,0.12,11,81,63,20,54,25,184,14,141,12.78,24.96,12.59,2.62,0.85,1.15,0.18,3.47,1.81
Convergent margin,Andesite,57.63,1.14,18.7,7.37,3.83,0.11,1.04,4.42,0.25,18.1,174,63,28.5,57,32,469,21.1,153,12.9,24.8,NA,4.17,1.25,1.75,0.27,3.5,1.64
Convergent margin,Andesite,53.04,0.61,17.19,11.41,5.7,0.16,0.28,2.21,0.04,39.26,251,63,33.86,31,5.377,124.423,15.783,38.433,1.277,4.107,4.03,1.467,0.57,1.58,0.24,1.2,0.25
Archean craton,Dacite,64.13,0.59,17.25,3.64,2.63,0.15,1.9,3.38,0.1,10.7,75.6,63.9,8.2,21.7,51.7,235,8.63,139,10.7,23.4,10,1.87,0.615,0.927,0.142,2.54,4.31
Archean craton,Rhyolite,71.29,0.53,12.45,3.83,2.18,0.07,0.57,2.4,0.09,15,65,64,NA,29,15,120,71,336,31.04,64.09,37.12,9.07,1.92,7.31,1.3,7.8,5.6
Archean craton,Basalt,53.26,1,14.96,9.82,4.49,0.15,0.76,2.69,0.121,25.3,234,65,75,152,27,671,23.4,98,14.1,27.3,12.4,3.41,1.33,1.77,0.29,2.79,2.07
Convergent margin,Andesite,57.38,0.7,17.05,6.62,3.24,0.16,3.01,3.43,0.32,7,118,65,18,22,99,530,31,213,55.1,102.7,42.6,7.57,1.84,2.94,0.51,5.07,20.1
Archean craton,Andesite,60.4,0.67,16.8,4.63,3.86,0.11,1.58,3.8,0.14,16,106,66,23,57,30,197,12,141,13,26,12,2.4,0.76,1.1,0.17,4.6,1.8
Archean craton,Basalt,55.46,1.02,15,8.18,4.71,0.14,1.29,3.38,0.171,19,168,66,57,159,47,517,21.7,117,15.3,33,16.06,3.51,1.27,1.56,0.24,3.1,2.03
